symbol,quantity,avg_price,current_price,pnl,pnl_pct,side,date_acquired
AAPL,93,226.87,239.39,1164.16,5.52%,long,2025-09-16
CVX,31,157.87,160.44,79.67,1.63%,long,2025-09-16
GOOGL,24,237.86,252.22,344.59,6.04%,long,2025-09-16
HD,12,416.53,418.0,17.64,0.35%,long,2025-09-16
JPM,71,299.23,312.0,906.67,4.27%,long,2025-09-16
MSFT,34,500.62,512.0,386.85,2.27%,long,2025-09-16
NVDA,100,175.99,174.65,-134.0,-0.76%,long,2025-09-16
XOM,44,112.23,115.62,149.16,3.02%,long,2025-09-16
