date,bot,symbol,action,quantity,price
2025-09-16,DEE,PG,BUY,39,155.2
2025-09-16,DEE,JNJ,BUY,37,162.45
2025-09-16,DEE,KO,BUY,104,58.9
2025-09-17,SHORGAN,CBRL,BUY,81,51.0
2025-09-12,SHORGAN,RGTI,BUY,130,15.35
2025-09-10,SHORGAN,ORCL,BUY,42,239.04
