symbol,quantity,avg_price,current_price,pnl,pnl_pct,side,date_acquired
AAPL,84,226.91,245.5,1561.07,8.19%,long,2025-09-16
CVX,31,157.87,156.17,-52.7,-1.08%,long,2025-09-16
GOOGL,24,237.86,254.72,404.66,7.09%,long,2025-09-16
HD,12,416.53,415.69,-10.08,-0.20%,long,2025-09-16
JNJ,30,175.38,176.19,24.3,0.46%,long,2025-09-16
JPM,64,299.23,314.78,995.2,5.20%,long,2025-09-16
MSFT,34,500.62,517.59,576.88,3.39%,long,2025-09-16
NVDA,60,175.99,176.54,33.0,0.31%,long,2025-09-16
PG,33,157.82,156.06,-58.24,-1.12%,long,2025-09-16
WMT,35,103.84,102.3,-53.82,-1.48%,long,2025-09-16
XOM,44,112.23,112.85,27.28,0.55%,long,2025-09-16
