Metric,Value
Date,2026-02-12
Time,16:19:18
Portfolio Value,"$95,785.69"
Buying Power,"$262,246.76"
Day P&L,"$-2,518.79"
Day P&L %,-2.56%
Position Count,17

Symbol,Quantity,Market Value,Cost Basis,Unrealized P&L,P&L %,Current Price,Avg Entry
AMD,25,"$5,168.75","$5,217.59",$-48.84,-0.94%,$206.75,$208.70
AMZN,20,"$3,989.00","$4,792.60",$-803.60,-16.77%,$199.45,$239.63
BAC,150,"$7,883.25","$8,437.50",$-554.25,-6.57%,$52.55,$56.25
COIN,30,"$4,244.70","$4,825.80",$-581.10,-12.04%,$141.49,$160.86
CVX,-1,$-182.45,$-157.27,$-25.18,-16.01%,$182.45,$157.27
DKNG,150,"$3,379.50","$4,050.00",$-670.50,-16.56%,$22.53,$27.00
MARA,400,"$2,920.00","$3,032.92",$-112.92,-3.72%,$7.30,$7.58
MRK,50,"$5,962.00","$5,528.76",$433.24,7.84%,$119.24,$110.58
NU,200,"$3,410.00","$3,126.00",$284.00,9.09%,$17.05,$15.63
NVDA,25,"$4,682.75","$4,749.68",$-66.93,-1.41%,$187.31,$189.99
OXY,150,"$6,835.85","$5,952.00",$883.85,14.85%,$45.57,$39.68
PANW,40,"$6,512.40","$6,287.80",$224.60,3.57%,$162.81,$157.19
RIOT,300,"$4,281.12","$4,230.92",$50.20,1.19%,$14.27,$14.10
SMCI,200,"$6,088.00","$6,044.78",$43.22,0.71%,$30.44,$30.22
SPY,10,"$6,817.73","$6,491.02",$326.71,5.03%,$681.77,$649.10
UBER,100,"$7,122.00","$7,278.61",$-156.61,-2.15%,$71.22,$72.79
ZM,50,"$4,612.00","$4,393.75",$218.25,4.97%,$92.24,$87.88
