Metric,Value
Date,2026-02-13
Time,16:15:02
Portfolio Value,"$97,041.87"
Buying Power,"$251,940.96"
Day P&L,$966.39
Day P&L %,1.01%
Position Count,18

Symbol,Quantity,Market Value,Cost Basis,Unrealized P&L,P&L %,Current Price,Avg Entry
AMD,25,"$5,183.00","$5,217.59",$-34.59,-0.66%,$207.32,$208.70
AMZN,20,"$3,976.60","$4,792.60",$-816.00,-17.03%,$198.83,$239.63
BAC,150,"$7,897.50","$8,437.50",$-540.00,-6.40%,$52.65,$56.25
COIN,30,"$4,932.00","$4,825.80",$106.20,2.20%,$164.40,$160.86
CRM,25,"$4,738.50","$4,664.60",$73.90,1.58%,$189.54,$186.58
CVX,-1,$-183.60,$-157.27,$-26.33,-16.75%,$183.60,$157.27
DKNG,150,"$3,259.50","$4,050.00",$-790.50,-19.52%,$21.73,$27.00
MARA,400,"$3,176.00","$3,032.92",$143.08,4.72%,$7.94,$7.58
MRK,50,"$6,050.00","$5,528.76",$521.24,9.43%,$121.00,$110.58
NU,200,"$3,363.90","$3,126.00",$237.90,7.61%,$16.82,$15.63
NVDA,25,"$4,571.49","$4,749.68",$-178.19,-3.75%,$182.86,$189.99
OXY,150,"$6,910.50","$5,952.00",$958.50,16.10%,$46.07,$39.68
PANW,40,"$6,689.40","$6,287.80",$401.60,6.39%,$167.24,$157.19
RIOT,300,"$4,560.00","$4,230.92",$329.08,7.78%,$15.20,$14.10
SMCI,200,"$6,092.00","$6,044.78",$47.22,0.78%,$30.46,$30.22
SPY,10,"$6,818.10","$6,491.02",$327.08,5.04%,$681.81,$649.10
UBER,100,"$6,981.00","$7,278.61",$-297.61,-4.09%,$69.81,$72.79
ZM,50,"$4,630.00","$4,393.75",$236.25,5.38%,$92.60,$87.88
