symbol,quantity,avg_price,current_price,pnl,pnl_pct,side,date_acquired
PG,39,155.20,155.20,0.00,0.00%,long,2025-09-16
JNJ,37,162.45,162.45,0.00,0.00%,long,2025-09-16
KO,104,58.90,58.90,0.00,0.00%,long,2025-09-16
