symbol,quantity,avg_price,current_price,market_value,cost_basis,unrealized_pnl,unrealized_pnl_pct,change_today,change_today_pct,last_updated
BTBT,570,2.66,2.9497,1681.329,1516.2,165.129,10.89097744360902,0.0015959252971138,0.0,2025-09-12 19:24:04
BYND,398,2.518819,2.69,1070.62,1002.49,68.13,6.79607776636176,0.0346153846153846,0.0,2025-09-12 19:24:04
DAKT,743,20.97,23.8734,17737.9362,15580.71,2157.2262,13.84549356223176,0.074894191805493,0.0,2025-09-12 19:24:04
EMBC,68,15.23,15.01,1020.68,1035.64,-14.96,-1.44451739986868,-0.0195950359242325,0.0,2025-09-12 19:24:04
GPK,142,21.07,20.72,2942.24,2991.94,-49.7,-1.66112956810631,-0.0161443494776828,0.0,2025-09-12 19:24:04
KSS,90,16.496,15.28,1375.2,1484.64,-109.44,-7.37148399612027,-0.0532837670384139,0.0,2025-09-12 19:24:04
NCNO,-348,29.72,30.09,-10471.32,-10342.56,-128.76,-1.24495289367429,-0.0121470781352594,0.0,2025-09-12 19:24:04
ORCL,42,239.04,291.43,12240.06,10039.68,2200.38,21.91683400267738,-0.0533684142142532,0.0,2025-09-12 19:24:04
RCAT,953,10.88,11.0,10483.0,10368.64,114.36,1.10294117647059,0.0,0.0,2025-09-12 19:24:04
RGTI,130,15.350692,18.84,2449.2,1995.59,453.61,22.73062101934766,0.1288196524865189,0.0,2025-09-12 19:24:04
SAVA,200,2.17,2.1001,420.02,434.0,-13.98,-3.22119815668203,-0.0277314814814815,0.0,2025-09-12 19:24:04
SPY,18,649.101667,657.22,11829.96,11683.83,146.13,1.25070289451319,-0.0006234508766328,0.0,2025-09-12 19:24:04
TSLA,2,349.12,395.5,791.0,698.24,92.76,13.284830430797433,0.0723678859033106,0.0,2025-09-12 19:24:04
MFIC,770,12.16,12.16,9363.2,9363.2,0.0,0.0,0.0,0.0,2025-09-16 10:30:00
INCY,61,83.97,83.97,5122.17,5122.17,0.0,0.0,0.0,0.0,2025-09-16 13:04:39
CBRL,81,51.0,51.0,4131.0,4131.0,0.0,0.0,0.0,0.0,2025-09-16 13:04:39
RIVN,357,14.5,14.5,5176.5,5176.5,0.0,0.0,0.0,0.0,2025-09-16 13:04:39
